Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Gender,Pool_ID,Sentrix_ID,Sentrix_Position,Scan_Date,barcode
H1,B05,SMET0256,H,Female,Epic,GSM5685685_201414140005,R01C01,27-Apr-18,GSM5685685_201414140005_R01C01
H2,D05,SMET0256,H,Male,Epic,GSM5685693_201414140052,R01C01,27-Apr-18,GSM5685693_201414140052_R01C01
H3,F05,SMET0256,H,Female,Epic,GSM5685696_201414140052,R04C01,27-Apr-18,GSM5685696_201414140052_R04C01
H4,G05,SMET0256,H,Female,Epic,GSM5685702_201414140027,R02C01,27-Apr-18,GSM5685702_201414140027_R02C01
H5,G06,SMET0256,H,Male,Epic,GSM5685706_201414140027,R07C01,27-Apr-18,GSM5685706_201414140027_R07C01
H6,G07,SMET0256,H,Male,Epic,GSM5685710_201414140057,R04C01,27-Apr-18,GSM5685710_201414140057_R04C01
H7,G08,SMET0256,H,Male,Epic,GSM5685712_201414140057,R06C01,27-Apr-18,GSM5685712_201414140057_R06C01
H8,G09,SMET0256,H,Female,Epic,GSM5685722_201414140002,R08C01,27-Apr-18,GSM5685722_201414140002_R08C01
H9,G10,SMET0256,H,Male,Epic,GSM5685727_201414140022,R05C01,27-Apr-18,GSM5685727_201414140022_R05C01
H10,G11,SMET0256,H,Male,Epic,GSM5685738_201414140059,R08C01,27-Apr-18,GSM5685738_201414140059_R08C01
H11,G12,SMET0256,H,Male,Epic,GSM5685739_201414140076,R01C01,27-Apr-18,GSM5685739_201414140076_R01C01
CV1,G13,SMET0256,CV,Male,Epic,GSM5685686_201414140005,R02C01,27-Apr-18,GSM5685686_201414140005_R02C01
CV2,G14,SMET0256,CV,Male,Epic,GSM5685687_201414140005,R03C01,27-Apr-18,GSM5685687_201414140005_R03C01
CV3,G15,SMET0256,CV,Female,Epic,GSM5685688_201414140005,R04C01,27-Apr-18,GSM5685688_201414140005_R04C01
CV4,G16,SMET0256,CV,Male,Epic,GSM5685689_201414140005,R05C01,27-Apr-18,GSM5685689_201414140005_R05C01
CV5,G17,SMET0256,CV,Female,Epic,GSM5685690_201414140005,R06C01,27-Apr-18,GSM5685690_201414140005_R06C01
CV6,G18,SMET0256,CV,Male,Epic,GSM5685691_201414140005,R07C01,27-Apr-18,GSM5685691_201414140005_R07C01
CV7,G19,SMET0256,CV,Male,Epic,GSM5685692_201414140005,R08C01,27-Apr-18,GSM5685692_201414140005_R08C01
CV8,G20,SMET0256,CV,Male,Epic,GSM5685694_201414140052,R02C01,27-Apr-18,GSM5685694_201414140052_R02C01
CV9,G21,SMET0256,CV,Female,Epic,GSM5685695_201414140052,R03C01,27-Apr-18,GSM5685695_201414140052_R03C01
CV10,G22,SMET0256,CV,Male,Epic,GSM5685697_201414140052,R05C01,27-Apr-18,GSM5685697_201414140052_R05C01
CV11,G23,SMET0256,CV,Male,Epic,GSM5685698_201414140052,R06C01,27-Apr-18,GSM5685698_201414140052_R06C01
CV12,G24,SMET0256,CV,Male,Epic,GSM5685699_201414140052,R07C01,27-Apr-18,GSM5685699_201414140052_R07C01
CV13,G25,SMET0256,CV,Female,Epic,GSM5685700_201414140052,R08C01,27-Apr-18,GSM5685700_201414140052_R08C01
CV14,G26,SMET0256,CV,Male,Epic,GSM5685701_201414140027,R01C01,27-Apr-18,GSM5685701_201414140027_R01C01
CV15,G27,SMET0256,CV,Female,Epic,GSM5685703_201414140027,R03C01,27-Apr-18,GSM5685703_201414140027_R03C01
CV16,G28,SMET0256,CV,Male,Epic,GSM5685704_201414140027,R05C01,27-Apr-18,GSM5685704_201414140027_R05C01
CV17,G29,SMET0256,CV,Male,Epic,GSM5685705_201414140027,R06C01,27-Apr-18,GSM5685705_201414140027_R06C01
CV18,G30,SMET0256,CV,Male,Epic,GSM5685707_201414140027,R08C01,27-Apr-18,GSM5685707_201414140027_R08C01
CV19,G31,SMET0256,CV,Male,Epic,GSM5685708_201414140057,R01C01,27-Apr-18,GSM5685708_201414140057_R01C01
CV20,G32,SMET0256,CV,Male,Epic,GSM5685709_201414140057,R02C01,27-Apr-18,GSM5685709_201414140057_R02C01
CV21,G33,SMET0256,CV,Female,Epic,GSM5685711_201414140057,R05C01,27-Apr-18,GSM5685711_201414140057_R05C01
CV22,G34,SMET0256,CV,Male,Epic,GSM5685713_201414140057,R07C01,27-Apr-18,GSM5685713_201414140057_R07C01
CV23,G35,SMET0256,CV,Male,Epic,GSM5685714_201414140057,R08C01,27-Apr-18,GSM5685714_201414140057_R08C01
CV24,G36,SMET0256,CV,Male,Epic,GSM5685715_201414140002,R01C01,27-Apr-18,GSM5685715_201414140002_R01C01
CV25,G37,SMET0256,CV,Male,Epic,GSM5685716_201414140002,R02C01,27-Apr-18,GSM5685716_201414140002_R02C01
CV26,G38,SMET0256,CV,Female,Epic,GSM5685717_201414140002,R03C01,27-Apr-18,GSM5685717_201414140002_R03C01
CV27,G39,SMET0256,CV,Male,Epic,GSM5685718_201414140002,R04C01,27-Apr-18,GSM5685718_201414140002_R04C01
CV28,G40,SMET0256,CV,Male,Epic,GSM5685719_201414140002,R05C01,27-Apr-18,GSM5685719_201414140002_R05C01
CV29,G41,SMET0256,CV,Male,Epic,GSM5685720_201414140002,R06C01,27-Apr-18,GSM5685720_201414140002_R06C01
CV30,G42,SMET0256,CV,Male,Epic,GSM5685721_201414140002,R07C01,27-Apr-18,GSM5685721_201414140002_R07C01
CV31,G43,SMET0256,CV,Female,Epic,GSM5685723_201414140022,R01C01,27-Apr-18,GSM5685723_201414140022_R01C01
CV32,G44,SMET0256,CV,Male,Epic,GSM5685724_201414140022,R02C01,27-Apr-18,GSM5685724_201414140022_R02C01
CV33,G45,SMET0256,CV,Male,Epic,GSM5685725_201414140022,R03C01,27-Apr-18,GSM5685725_201414140022_R03C01
CV34,G46,SMET0256,CV,Male,Epic,GSM5685726_201414140022,R04C01,27-Apr-18,GSM5685726_201414140022_R04C01
CV35,G47,SMET0256,CV,Female,Epic,GSM5685728_201414140022,R06C01,27-Apr-18,GSM5685728_201414140022_R06C01
CV36,G48,SMET0256,CV,Female,Epic,GSM5685729_201414140022,R07C01,27-Apr-18,GSM5685729_201414140022_R07C01
CV37,G49,SMET0256,CV,Female,Epic,GSM5685730_201414140022,R08C01,27-Apr-18,GSM5685730_201414140022_R08C01
CV38,G50,SMET0256,CV,Male,Epic,GSM5685731_201414140059,R01C01,27-Apr-18,GSM5685731_201414140059_R01C01
CV39,G51,SMET0256,CV,Male,Epic,GSM5685732_201414140059,R02C01,27-Apr-18,GSM5685732_201414140059_R02C01
CV40,G52,SMET0256,CV,Male,Epic,GSM5685733_201414140059,R03C01,27-Apr-18,GSM5685733_201414140059_R03C01
CV41,G53,SMET0256,CV,Male,Epic,GSM5685734_201414140059,R04C01,27-Apr-18,GSM5685734_201414140059_R04C01
CV42,G54,SMET0256,CV,Male,Epic,GSM5685735_201414140059,R05C01,27-Apr-18,GSM5685735_201414140059_R05C01
CV43,G55,SMET0256,CV,Female,Epic,GSM5685736_201414140059,R06C01,27-Apr-18,GSM5685736_201414140059_R06C01
CV44,G56,SMET0256,CV,Male,Epic,GSM5685737_201414140059,R07C01,27-Apr-18,GSM5685737_201414140059_R07C01
CV45,G57,SMET0256,CV,Male,Epic,GSM5685740_201414140076,R02C01,27-Apr-18,GSM5685740_201414140076_R02C01
CV46,G58,SMET0256,CV,Male,Epic,GSM5685741_201414140076,R03C01,27-Apr-18,GSM5685741_201414140076_R03C01
CV47,G59,SMET0256,CV,Male,Epic,GSM5685742_201414140076,R04C01,27-Apr-18,GSM5685742_201414140076_R04C01
CV48,G60,SMET0256,CV,Male,Epic,GSM5685743_201414140076,R05C01,27-Apr-18,GSM5685743_201414140076_R05C01
