peak,T96h-Mac-Rep1,T96h-Mac-Rep2,T96h-Mac-Rep3,T96h-Neu-Rep1,T96h-Neu-Rep2,T96h-Neu-Rep3,T96h-Mon-Rep1,T96h-Mon-Rep2,T96h-Mon-Rep3
chr1_778492_779012,15,70,80,112,18,56,13,88,114
chr1_827011_828034,45,182,140,126,23,60,14,140,127
chr1_1115979_1116553,21,93,88,91,14,45,13,93,77
chr1_1231797_1232397,11,81,44,94,9,31,10,91,65
chr1_1307860_1308743,30,148,77,135,25,44,21,128,86
chr1_1375109_1375637,33,136,128,123,11,63,23,143,127
chr1_1399118_1399766,21,83,79,78,13,35,13,76,67
chr1_1407062_1407561,6,15,41,38,11,13,5,38,22
chr1_1471430_1471929,11,39,34,39,8,9,7,46,35
chr1_1511815_1512340,17,78,48,69,15,26,10,67,65
chr1_1574398_1575605,18,94,61,89,18,25,6,77,66
chr1_1615073_1615638,14,48,54,81,13,36,12,91,63
chr1_1658512_1659322,17,111,80,179,14,65,10,119,137
chr1_1692320_1693714,44,197,166,165,26,74,30,163,140
chr1_1724008_1724751,25,130,99,108,11,47,20,141,117
chr1_1745615_1746924,30,122,111,128,16,64,24,100,93
chr1_1763912_1764411,10,46,26,16,1,5,6,21,20
chr1_1778710_1779209,7,68,57,34,4,12,8,40,30
chr1_1919066_1919565,12,50,34,65,10,18,9,60,54
chr1_2133022_2133674,15,66,71,119,7,30,10,109,85
chr1_2189463_2189966,9,47,47,47,10,20,3,31,48
chr1_2227509_2228009,10,50,43,56,4,32,13,54,46
chr1_2391301_2391957,19,132,93,140,14,52,12,128,135
chr1_2412360_2412886,9,74,55,67,14,23,8,67,58
chr1_2526052_2526885,10,24,35,30,8,13,6,34,22
chr1_2586262_2586761,10,46,33,63,7,19,7,62,40
chr1_3624530_3625174,21,90,81,99,25,43,11,91,76
chr1_3796324_3796823,9,41,34,26,8,12,6,19,19
chr1_3856937_3857630,23,111,83,130,15,49,9,94,78
chr1_3899806_3901594,42,188,148,260,38,130,29,181,166
chr1_5991993_5992813,31,139,130,192,28,89,29,134,120
chr1_6026015_6026514,11,45,41,27,5,8,7,37,31
chr1_6199402_6199926,18,85,67,55,11,36,5,56,59
chr1_6393293_6393792,2,39,40,32,9,15,9,39,32
chr1_6579622_6580233,11,50,58,60,13,29,11,58,63
chr1_6602491_6603027,14,59,43,61,10,16,9,59,59
chr1_6613063_6613877,21,125,100,168,10,46,17,133,144
chr1_6701343_6702086,21,70,57,45,6,19,4,48,45
chr1_6784302_6784801,20,78,52,53,6,11,12,69,50
chr1_6784828_6785445,41,203,194,225,26,98,39,216,214
chr1_7478790_7479289,9,29,40,9,2,2,1,2,3
chr1_7771054_7771553,11,43,29,33,3,16,8,39,47
chr1_7783909_7784408,13,45,43,17,5,11,6,27,24
chr1_7942217_7943092,6,42,38,46,7,27,12,52,43
chr1_7954017_7954516,5,63,58,52,6,22,8,48,40
chr1_7961233_7961972,31,158,146,117,17,56,12,113,108
chr1_8424409_8424977,8,18,27,17,7,10,2,14,17
chr1_8525762_8526261,1,30,56,35,9,22,15,39,33
chr1_8878436_8879086,21,100,86,139,10,63,25,109,119
chr1_9275513_9276016,8,33,35,10,5,6,8,23,15
chr1_9428707_9429283,10,82,57,102,18,44,7,79,70
chr1_9539065_9539714,11,89,65,75,12,40,10,64,58
chr1_9539762_9540261,9,47,28,25,3,13,5,20,25
chr1_9910079_9910825,16,99,90,119,18,61,16,107,99
chr1_10032479_10033427,26,132,113,150,24,69,19,132,113
chr1_10210158_10210729,16,58,53,66,10,31,13,52,54
chr1_10378349_10378848,9,27,30,23,8,7,8,21,17
chr1_10398603_10399208,15,89,102,108,19,35,17,89,86
chr1_10430207_10430881,5,60,39,61,7,18,10,45,40
chr1_10472173_10472672,4,33,26,39,10,18,5,25,26
chr1_10965776_10966275,8,14,25,12,5,10,2,7,16
chr1_11012121_11013121,18,88,81,79,10,41,17,80,63
chr1_11059964_11060463,11,49,38,40,13,10,3,30,22
chr1_11262356_11262893,20,75,77,66,18,49,7,118,56
chr1_11273001_11273711,12,77,67,83,11,40,10,83,76
chr1_11805688_11806344,20,137,108,137,21,60,21,190,152
chr1_11908240_11908739,5,19,31,10,3,7,4,21,20
chr1_11926168_11926667,2,30,30,32,6,12,8,31,24
chr1_11979935_11980623,18,115,101,116,15,40,17,110,87
chr1_12019124_12019683,14,67,83,75,19,45,16,79,82
chr1_12038568_12039567,14,72,76,20,5,16,4,16,15
chr1_12143504_12144003,16,77,98,14,4,9,5,43,44
chr1_12161797_12162296,5,23,39,26,8,18,7,30,32
chr1_12168114_12168613,16,55,41,16,4,9,1,10,2
chr1_12178044_12178723,16,65,80,10,5,6,2,22,9
chr1_12595762_12596261,8,35,48,25,4,7,3,7,12
chr1_12601846_12602345,7,29,21,13,3,7,3,8,10
chr1_13749182_13749681,8,49,38,34,11,18,7,50,32
chr1_15261069_15261568,9,52,54,15,2,4,2,11,18
chr1_15415965_15416464,13,49,50,26,8,13,10,33,36
chr1_15524461_15525357,18,78,86,166,18,62,15,112,126
chr1_15526435_15526951,34,131,136,167,20,60,27,173,151
chr1_15617092_15617749,20,121,71,55,14,27,12,70,40
chr1_15834667_15835166,8,57,29,55,11,24,7,51,45
chr1_15835656_15836337,27,86,62,104,15,46,16,110,92
chr1_15847430_15847931,7,45,29,61,12,21,6,43,29
chr1_15949586_15950085,13,67,48,8,5,7,4,28,24
chr1_15975674_15976270,9,34,31,29,8,11,2,17,32
chr1_16206410_16206939,10,50,51,60,13,22,11,81,63
chr1_16352203_16352805,12,65,50,44,11,17,11,45,44
chr1_16366831_16367906,23,128,129,98,14,43,13,69,85
chr1_16396571_16397070,14,27,26,4,4,8,2,8,7
chr1_16440459_16440958,7,34,32,36,13,19,6,23,25
chr1_16613239_16613836,18,73,56,69,19,36,14,59,59
chr1_16644423_16644954,12,52,60,65,19,53,11,48,37
chr1_17053856_17054393,15,104,75,175,22,61,16,142,120
chr1_17438230_17438980,9,49,33,23,6,4,4,38,21
